cate2,paragraph
보육대상 및 어린이집의 종류,"보육대상
어린이집의 보육 대상은 보육이 필요한 만 6세 미만의 영유아를 원칙으로 하며, 필요한 경우 어린이집의 원장은 만 12세까지 연장하여 보육할 수 있습니다(「영유아보육법」 제2조제1호 및 제27조).
어린이집의 종류(「영유아보육법」 제10조 참조)
구분 정의 규모
국공립어린이집 국가나 지방자치단체가 설치·운영하는 어린이집 상시 영유아 11명 이상을 보육할 수 있는 시설
사회복지법인어린이집 「사회복지사업법」에 따른 사회복지법인이 설치·운영하는 어린이집 상시 영유아 21명 이상을 보육할 수 있는 시설을 갖추어야 함
법인·단체 등 어린이집 각종 법인(사회복지법인을 제외한 비영리법인)이나 단체 등이 설치·운영하는 어린이집 상시 영유아 21명 이상을 보육할 수 있는 시설을 갖추어야 함
직장어린이집 사업주가 사업장의 근로자를 위하여 설치·운영하는 어린이집(국가 또는 지방자치단체의 장이 소속 공무원 및 근로계약을 체결한 자를 위하여 설치･운영하는 어린이집 포함) 상시 영유아 5명 이상을 보육할 수 있는 어린이집
가정어린이집 개인이 가정 또는 그에 준하는 곳에 설치·운영하는 어린이집 상시 영유아 5명 이상 20명 이하를 보육할 수 있는 어린이집
협동어린이집 보호자 또는 보호자와 보육교직원이 조합(영리를 목적으로 하지 아니하는 조합에 한정한다)을 결성하여 설치·운영하는 어린이집 상시 영유아 11명 이상을 보육할 수 있는 어린이집
민간어린이집 국공립·사회복지법인·법인단체등·직장·가정·부모협동 어린이집이 아닌 어린이집 상시 영유아 21명 이상을 보육할 수 있는 시설을 갖추어야 함
▪ 어린이집의 설치에 대한 자세한 내용은 이 사이트 『어린이집 설치』 콘텐츠에서 확인할 수 있습니다."
보육의 우선제공 등,"보육의 우선제공 대상자
국가나 지방자치단체, 사회복지법인, 그 밖의 비영리법인이 설치한 어린이집과 「영유아보육법 시행령」으로 정하는 어린이집의 원장은 아래에 해당하는 사람이 우선적으로 어린이집을 이용할 수 있도록 해야 합니다(「영유아보육법」 제28조제1항 본문).
다만, 「고용정책 기본법」 제40조제2항에 따라 고용촉진시설의 설치·운영을 위탁받은 공공단체 또는 비영리법인이 설치·운영하는 어린이집의 원장은 근로자의 자녀가 우선적으로 어린이집을 이용하게 할 수 있습니다(「영유아보육법」 제28조제1항 단서).
1순위(보건복지부, 「2020년도 보육사업안내」, 69~70쪽 참조)
「국민기초생활 보장법」에 따른 수급자
「한부모가족지원법」 제5조에 따른 보호대상자의 자녀
「국민기초생활 보장법」 제24조에 따른 차상위계층의 자녀(중위소득의 50%이하)
「장애인복지법」 제2조에 따른 장애인 중 「장애인복지법 시행규칙」 별표 1에 따른 장애의 정도가 심한 장애인의 자녀
「장애인복지법」 제2조에 따른 장애인 중 「장애인복지법 시행규칙」 별표 1에 따른 장애의 정도가 심한 장애인이 형제자매인 영유아
아동복지시설에서 생활 중인 영유아
부모가 모두 취업 중이거나 취업을 준비 중인 영유아
「다문화가족지원법」 제2조제1호에 따른 다문화가족의 영유아
「국가유공자 등 예우 및 지원에 관한 법률」 제4조에 따른 국가유공자 중 전몰군경, 전상군경·공상군경·4·19혁명부상자·공상공무원·특별공로상이자로서 「국가유공자 등 예우 및 지원에 관한 법률 시행령」 별표 3에 따른 상이등급 중 1급부터 3급까지의 상이등급에 해당하는 사람, 순직군경·순직공무원·특별공로순직자의 자녀
자녀가 3명 이상인 가구의 영유아 또는 영유아인 자녀가 2명인 가구의 영유아
제1형 당뇨를 가진 경우로서 의학적 조치가 용이하고 일상생활이 가능하여 보육에 지장이 없는 영유아
산업단지 입주기업체 및 지원기관 근로자의 자녀로서 산업단지에 설치된 어린이집을 이용하는 영유아
2순위(「2020년도 보육사업안내」, 70쪽 참조)
그 밖의 한부모·조손 가족, 가정위탁 보호아동·입양된 영유아, 같은 어린이집 재원 중인 아동의 형제·자매
다만, 재원아동 형제·자매의 경우, 3월 신학기 입소 시 첫째 자녀가 초등학교에 입학할 경우 해당하지 않습니다
▪ 보육의 우선 제공 대상 및 입소자 결정에 대한 자세한 내용은 「2020년도 보육사업안내」에서 확인할 수 있습니다
어린이집의 반편성 기준(「2020년도 보육사업안내」, 63~64쪽 참조)
연령별 반편성은 동년도 출생아(동년도 1.1 ~ 동년도 12.31 출생아)를 함께 반편성하는 것을 원칙으로 합니다.
반편성 출생일 기준
만 0세반 2019. 1. 1. 이후 출생
만 1세반 2018. 1. 1. ~ 2018. 12. 31.
만 2세반 2017. 1. 1. ~ 2017. 12. 31.
만 3세반 2016. 1. 1. ~ 2016. 12. 31.
만 4세반 2015. 1. 1. ~ 2015. 12. 31.
만 5세반 2014. 1. 1. ~ 2014. 12. 31.
다만, 1, 2월생 영유아에 한하여 보호자 신청에 따라 상위연령반에 편성 가능합니다.
어린이집은 가능한 한 2세 미만 영아반, 2세 영아반과 3세 이상의 유아반을 동시에 운영해야 합니다.
다만, 장애아가 있는 경우에는 장애아만으로 구성된 반을 운영할 수 있습니다.
연령별 반편성시 반별 정원기준은 다음과 같습니다.
반별 정원기준 만 0세 만 1세 만 2세 만 3세 만 4세 이상
원칙 3명 5명 7명 15명 20명
교사 대 아동의 비율을 준수하는 범위에서 보육과정 및 아동 1명당 보육실 면적 등을 감안하여 1개의 보육실에서 2개 이상의 반을 함께 보육하는 것이 가능합니다."
보육료 결정 등,"보육료 결정 및 수납한도액
어린이집을 설치·운영하는 자는 그 어린이집의 소재지를 관할하는 특별시장·광역시장·도지사·특별자치도지사(이하 “시·도지사”라 함)가 정하는 범위에서 그 어린이집을 이용하는 자로부터 보육료와 그 밖의 필요경비 등을 받을 수 있습니다. 다만, 시·도지사는 필요시 어린이집 유형과 지역적 여건을 고려하여 그 기준을 다르게 정할 수 있습니다(「영유아보육법」 제38조).
어린이집 원장은 시·도지사가 정한 보육료의 수납한도액 범위 내에서 보호자와 협의하여 수납액을 자율적으로 결정하고, 이를 시장·군수·구청장에게 신고해야 합니다(보건복지부,「2020년도 보육사업안내」, 88쪽).
▪ 보육료 수납 한도액에 대한 자세한 내용은 「2020년도 보육사업안내」에서 확인할 수 있습니다.
잡부금 수납의 금지(「2020년도 보육사업안내」, 91~94쪽 참조)
보육료를 제외한 여타 잡부금 수납은 원칙적으로 금지합니다. 다만, 입소료나 현장학습비 등 수납이 불가피한 필요경비는 해당 시·도지사가 정한 수납한도액의 범위에서 수납할 수 있습니다.
필요경비 내역: 입학준비금(상해보험료, 피복류구입비), 특별활동비, 현장학습비, 차량운행비, 행사비, 아침·저녁급식비, 그 밖의 시·도 특성화 비용
※ 아동이 별도의 상해보험에 가입되어 있을 경우 중복가입여부는 아동의 보호자의 의사에 따르도록 하며, 중복 가입을 원하지 않을 경우 상해보험료를 수납할 수 없습니다.
보육료 내역: 보육교직원 인건비, 교재교구비, 급식비 1회, 간식비 2회, 관리운영비(난방비, 공공요금 및 제세공과금, 사무용품비 등)"
보육과정의 운영 등,"표준보육과정에 따른 보육
어린이집 원장은 영유아의 신체·정서·언어·사회성 및 인지적 발달을 도모할 수 있는 내용을 포함한 보육과정을 운영해야 하며, 표준보육과정에 따라 영유아를 보육하도록 노력해야 합니다(「영유아보육법」 제29조제1항 및 제3항).
▪ 표준보육과정의 구체적인 내용은 「영유아보육법 시행규칙」 별표 8의4에서 확인할 수 있습니다(「영유아보육법 시행규칙」 제30조 본문).
특별활동프로그램의 운영
어린이집의 원장은 보호자의 동의를 받아 24개월 이상의 영유아에게 낮 12시부터 오후 6시까지 보육과정 외에 어린이집 내외에서 이루어지는 특별활동프로그램을 실시할 수 있습니다(「영유아보육법」 제29조제4항 전단, 「영유아보육법 시행규칙」 제30조의2제1항 및 제2항 본문).
다만, 특별활동에 참여하지 않는 영유아를 위하여 특별활동을 대체할 수 있는 프로그램을 마련해야 합니다(「영유아보육법」 제29조제4항 후단).
보호자의 어린이집 참관
보호자는 영유아의 보육환경·보육내용 등 어린이집의 운영 실태를 확인하기 위하여 어린이집 원장에게 어린이집 참관을 요구할 수 있고, 이 경우 어린이집 원장은 특별한 사유가 없으면 이에 따라야 합니다(「영유아보육법」 제25조의3).
어린이집의 원장은 위 규정에 따라 보호자가 어린이집 참관을 요구하는 경우에는 보육에 지장이 없는 시간대를 선택하여 참관할 수 있도록 해야 합니다(「영유아보육법 시행규칙」 제27조의2제1항).
어린이집운영위원회 설치
어린이집의 원장은 어린이집 운영의 자율성과 투명성을 높이고 지역사회와의 연계를 강화하여 지역 실정과 특성에 맞는 보육을 실시할 수 있도록 하기 위하여 부모협동어린이집을 제외한 모든 어린이집은 어린이집운영위원회를 설치·운영해야 합니다(「영유아보육법」 제25조 및 「영유아보육법 시행령」 제21조의2).
￭ 부모모니터링단이란? ▪ 부모모니터링단이란 어린이집의 급식, 위생, 건강 및 안전관리 등 운영상황을 모니터링하고 보육환경 개선을 위한 컨설팅을 위해 시·도지사 또는 시장·군수·구청장이 부모 및 보육·보건 전문가 10명 이내로 구성·운영하는 점검단을 말합니다(「영유아보육법」 제25조의2 참조).
보육 운영 시간(「2020년도 보육사업안내」, 76쪽 참조)
어린이집은 주 6일 이상, 연중 계속 운영하는 것을 원칙으로 합니다. 다만, 지역 및 시설여건 등을 고려하여 어린이집운영위원회의 결정에 따라 토요일은 휴무를 할 수 있습니다.
월~금요일：12시간(07:30~19:30), 토요일：8시간(07:30~15:30)
다만, 보호자의 근로시간 등을 고려하여 미리 보호자의 동의를 받은 경우에는 영유아 및 그 보호자에게 불편을 주지 않는 범위에서 어린이집 운영일 및 운영시간을 조정하여 운영할 수 있습니다.
어린이집은 천재지변이나 감염병의 발생 등 어린이집을 정상적으로 운영할 수 없는 등 정당한 사유 없이 휴원하여 영유아 및 부모에게 심한 불편을 주어서는 안 됩니다."
보험 가입 및 장부 등의 비치,"보험 등의 가입(「2020년도 보육사업안내」, 80~81쪽 참조)
어린이집의 원장은 영유아의 생명·신체에 대한 피해를 보상하기 위하여 어린이집 안전공제회(이하 ""공제회""라 한다)에 가입하고 공제회에서 정한 공제료를 납부해야 합니다.
보험의 종류 가입대상 보험료 부담
영유아보험 어린이집 입소 영유아 전원 어린이집 부담 원칙
화재보험 모든 어린이집 어린이집 부담 원칙
자동차보험 차량운행을 하는 어린이집 어린이집 부담 원칙
어린이집의 대표자는 보육교직원을 위하여 「국민연금법」에 따른 국민연금, 「국민건강보험법」에 따른 건강보험, 「고용보험법」에 따른 고용보험 및 「산업재해보상보험법」에 따른 산재보험에 가입해야 합니다.
장부 등의 비치
어린이집의 원장은 영유아의 발달 등을 종합적으로 관찰·평가하여 영유아 생활지도 및 초등학교 교육과의 연계지도에 활용할 수 있도록 생활기록부(전자서식 포함)를 작성·관리해야 합니다(「영유아보육법」 제29조의2).
어린이집의 원장은 보호자가 요청하거나 아동이 전학하는 어린이집의 원장 및 아동이 입학한 초등학교의 장 등이 생활지도에 필요하여 요청할 경우에는 보호자의 동의를 얻어 생활기록부 사본(전자서식 포함)을 송부해야 합니다( 「2020년도 보육사업안내」, 82쪽 참조).
▪ 어린이집에서 갖춰야 하는 장부 및 서류에 대한 구체적인 내용은 「영유아보육법 시행규칙」 별표 8에서 확인할 수 있습니다."
영유아 건강·위생관리,"건강관리 및 응급조치
어린이집의 원장은 보육하고 있는 영유아와 보육교직원에 대하여 1년에 1회 이상 건강진단을 실시하고, 영유아의 건강진단 실시 여부를 어린이집 생활기록부에 기록하여 관리하는 등 건강관리를 해야 합니다. 다만, 보호자가 별도로 건강검진을 실시하고 그 검진결과 통보서를 제출한 영유아에 대해서는 건강진단을 실시하지 않을 수 있습니다(「영유아보육법」 제31조제1항 및 「영유아보육법 시행규칙」 제33조제1항).
어린이집의 원장은 건강진단을 실시한 결과 치료가 필요한 영유아에 대해서는 그 보호자와 협의하여 필요한 조치를 해야 합니다(「영유아보육법 시행규칙」 제33조제4항).
어린이집의 원장은 건강진단을 실시한 결과 전염성 질환에 감염된 것으로 밝혀지거나 의심되는 영유아 및 어린이집 거주자를 어린이집으로부터 격리시키고, 전염성 질환에 감염된 것으로 밝혀지거나 의심되는 보육교직원을 즉시 휴직시키거나 면직시키는 등의 조치를 취해야 합니다(「영유아보육법 시행규칙」 제33조제5항).
어린이집의 원장은 영유아에게 질병·사고 또는 재해 등으로 인하여 위급상태가 발생한 경우 즉시 응급의료기관에 이송해야 합니다(「영유아보육법」 제31조제2항).
위생관리 일반
조리실·식품 등의 원료 및 제품 보관실·화장실·침구 등을 정기적으로 소독하고 항상 청결하게 관리해야 합니다.
보육교직원은 영유아의 위생에 영향을 미치는 감기, 독감, 홍역 등 유행성 질환 감염 여부, 영유아의 피부, 머리, 손톱·발톱, 치아상태, 어린이집의 청소상태, 침구 및 기저귀 등의 위생상태, 욕실 및 화장실의 청결상태, 세면도구 등의 위생상태 등에 대하여 수시로 점검해야 합니다.
실내공기관리
어린이집 내부의 쾌적한 공기질을 유지하기 위해 수시로 환기 및 청소 등을 해야 합니다.
음용수 관리
어린이집의 음용수는 상수도 및 간이상수도를 사용하는 경우에는 물을 끓여 사용하는 것을 원칙으로 하고, 정수장치를 설치하는 경우에는 정기적인 필터 교환 등으로 수질을 관리해야 합니다.
지하수를 사용하는 경우에는 「먹는물 수질기준 및 검사 등에 관한 규칙」 제3조에 따라 수질검사를 신청해야 하며, 수질검사기관으로부터 발급받은 먹는물 수질검사성적서를 갖춰 두어야 합니다.
동물관리
동물을 두는 때에는 미리 부모에게 그 사실을 알리고, 동물로부터 영유아가 알레르기 및 질병, 상해를 입지 아니하도록 정기적으로 수의사를 통해 면역 조치 등을 받아야 하며, 동물·곤충 또는 배설물 등을 접촉한 경우에는 접촉 부위를 씻어야 합니다."
영유아 급식 관리,"영양관리(「영유아보육법 시행규칙」 별표 8 제3호나목및 보건복지부, 「2020년도 보육사업안내」, 109~111쪽 참조).
어린이집의 원장은 영유아의 건강을 위해서 영유아에게 균형 있고 위생적이며 안전한 급식을 제공해야 할 의무가 있습니다. 식단은 영양사가 작성해야 하며 직접 조리해 공급하는 것을 원칙으로 합니다.
다만, 100명 미만의 영유아를 보육하고 있는 어린이집으로서 영양사를 두고 있지 않은 경우에는, 「어린이 식생활 안전관리 특별법」 제21조에 따른 어린이집 급식관리지원센터에 등록하고, 인근 육아종합지원센터, 보건소 및 어린이급식관리지원센터 등의 영양사의 지도를 받아 식단을 작성해야 합니다.
급식위생(「영유아보육법 시행규칙」 별표 8 제3호나목 및 보건복지부, 「2020년도 보육사업안내」, 109~111쪽 참조)
어린이집의 원장 및 급식을 조리·제공하는 보육교직원은 어린이집에서 식중독 환자가 발생하지 않도록 위생관리를 철저히 해야 합니다.
상하거나 유통기한이 지난 원료 또는 완제품을 음식물의 조리에 사용하거나 보관해서는 안 되며, 이미 급식에 제공되었던 음식물을 재사용해서는 안 됩니다.
조리실은 항상 청결을 유지하되 정기적으로 식기, 도마, 칼, 행주, 그 밖에 주방 용구를 세척·살균 및 소독하고 ""어린이집 통합안전점검표""를 참고하여 매일 위생점검을 실시하는 등 위생관리를 철저히 해야 합니다.
▪ 어린이집 급식관리에 관한 자세한 사항은 「2020년도 보육사업안내」에서 확인할 수 있습니다."
영유아 안전관리,"안전관리 원칙
원장 등 보육교직원은 업무를 수행함에 있어 영유아의 생명·안전보호 및 위험 방지를 위해 주의의무를 다해야 하며, 어린이집 원장은 보육교직원 및 부모와 함께 영유아의 안전사고예방을 위해 성실하게 노력하고 안전교육을 실시해야 합니다.
어린이집은 인근 소방서, 경찰서 및 가스, 유류 등의 안전상태를 점검하는 유관기관에 의해 정기점검을 실시하고 비상연락체계를 구축해야 하며, 자체적으로 정기적인 시설 안전점검을 실시하고 기록·관리해야 합니다.
어린이집 보육교직원은 영유아의 실내·외 활동 시 안전을 위해 영유아를 보호·감독해야 하며 원장은 영유아에 대한 물리적 환경과 인적 환경에 대한 안전 확보를 위해 시설 및 환경을 조성하고 관리해야 합니다.
분야별 안전관리
구분 내용
물리적 환경에 대한 안전관리 ·원장은 어린이집 통합안전점검표에 따라 매일, 매월 시설안전점검을 실시해 화재·상해 등 위험발생요인을 사전에 제거해야 합니다.·「아동복지법」 제32조에 따라 유괴 등 범죄의 위험으로부터 아동을 보호하기 위해 필요하다고 인정하는 때에는 어린이집의 아동을 보호하기 위해 어린이집의 주변구역을 아동보호구역으로 지정해 폐쇄회로 텔레비전을 설치하거나 그 밖의 필요한 조치를 할 수 있습니다.
인적 환경에 대한 안전관리 ·어린이집 보육교직원은 영유아의 안전사고 예방을 위해 영유아에 대한 보호와 감독을 철저히 해야 하며, 안전점검방법 및 안전점검표의 활용법, 영유아의 발달단계 특성을 고려한 보호 및 안전교육 방법에 대해 숙지하고 있어야 합니다.·영유아와 부모에 대한 안전교육을 시행해야 하며, 원장은 모든 보육교직원에 대해 안전교육을 실시하고, 관련 기관 등에서 전문적인 안전교육을 받을 수 있도록 해야 합니다.
영유아에 대한 안전교육
영유아 스스로가 자신의 안전을 보호 할 수 있는 능력과 기술을 가지도록 교육해야 하며, 어린이집의 원장은 소방계획을 작성하고 매월 소방(비상대피) 훈련을 실시해야 합니다.
어린이집의 원장은 보육대상 아동의 연령을 고려해 「아동복지법」의 안전교육 기준에 따라 안전교육계획을 수립해 교육을 실시하고, 계획 및 실시 결과를 관할 시장·군수·구청장에게 매년 3월 31일까지 보고해야 합니다.
▪ 안전교육 기준은 「아동복지법 시행령」 별표 6에서 확인할 수 있습니다.
보육교직원에 대한 안전교육
보육교직원은 안전교육 지침 등을 숙지해야 하며, 시·도 및 시·군·구 등에서 안전 관련 교육을 시행할 때 적극 참여하고 교육과정을 이수해야 합니다. 또한 화재 등 긴급사태에 대비한 계획 수립 및 정기적인 점검·훈련을 실시해야 합니다.
부모에 대한 안전교육
어린이집의 원장은 영유아의 건강·위생, 아동학대, 안전, CCTV 열람 등과 관련된 내용을 포함해 부모와 충분히 협의·고지해야 하며 안전, 아동학대 예방 등 관련 교육에 부모가 참여할 수 있도록 해야 합니다
비상연락체계 구축
어린이집의 원장은 안전사고에 대응하기 위해 인근 소방서, 경찰서 및 가스, 유류 등의 안전상태를 점검하는 유관기관 등과 비상연락체계를 구축해야 합니다.
사고보고체계의 확립
어린이집의 원장은 사고에 대비해 부모와의 비상연락망을 확보해야 하며 응급처치동의서를 비치해야 합니다.
영유아에 대한 사고가 발생한 경우에는 원장은 24시간 이내에 사고보고서를 작성해 특별자치시장·특별자치도지사·시장·군수·구청장에게 보고해야 하며, 중대 사고(중상 이상의 안전사고, 전염병 및 식중독 등 집단 질병, 화재·침수·붕괴 등 재난사고 등)는 사고발생 즉시 보고해야 합니다.
▪ 그 밖에 어린이집 안전관리에 관한 자세한 사항은 「2020년도 보육사업안내」에서 확인할 수 있습니다."
통학차량 안전 관리,"어린이집의 통학차량 운행신고
어린이집의 원장은 영유아의 통학을 위하여 차량을 운영하는 경우 「도로교통법」 제52조에 따라 미리 어린이통학버스로 관할 경찰서장에게 신고해야 합니다(「영유아보육법」 제33조의2).
어린이집의 통학차량 운행(보건복지부, 「2020년도 보육사업안내」, 81쪽 참조)
어린이집의 차량 운행은 의무사항이 아니나, 어린이집을 이용하는 아동의 보호자로부터 비용을 받아 차량을 운행하는 경우에는 정당한 사유 없이 차량 운행을 중단하면 안 됩니다. 다만, 차량 고장 등 불가피한 사유로 차량 운행이 불가능하여 어린이집 원장이 보호자에게 사전 통지를 한 경우는 제외합니다.
통학차량 운행 횟수 및 시간은 보호자와 협의하여 어린이집에서 자율적으로 결정하며, 차량 이용 수요가 많은 시간에 통학 차량을 운행하는 것이 바람직합니다.
어린이집의 통학차량으로 운행하려는 경우 반드시 어린이통학버스정보시스템에 입력하도록 함
차량안전 관리(「2020년도 보육사업안내」, 116~119쪽 참조)
운전기사 채용 시 채용신체검사서 제출, 교통안전교육 이수여부 확인 및 성범죄 경력 조회를 실시해야 합니다.
차량 운행 시 보육교사 등 어린이집 보육교직원이 동승해야 하며, 이 경우 차량에 동승하는 사람은 보건복지부장관이 정하는 동승보호자 안전교육을 받은 사람이어야 합니다. 또한 교사와 영유아는 차량 운행 시작 전 안전벨트를 착용해야 합니다(36개월 미만 영아는 보호자가 동반하거나 영아용 보호장구를 착용).
▪ 차량 안전 관리에 대한 자세한 사항은 「영유아보육법 시행규칙」 별표 8에서 확인하실 수 있습니다.
▪ 그 밖에 어린이통학버스에 대한 자세한 내용은 이 사이트 『어린이 생활안전』 콘텐츠에서 확인할 수 있습니다."
어린이집 원장의 채용 등,"어린이집 원장의 자격요건
어린이집의 원장은 「영유아보육법 시행령」 별표 1 제1호에 따른 자격을 가진 사람으로서 보건복지부장관이 검정·수여하는 자격증을 받은 자여야 합니다(「영유아보육법」 제21조제1항).
어린이집 원장의 일반기준
어린이집 원장 자격의 일반기준은 아래와 같습니다(「영유아보육법 시행령」 별표 1 제1호가목).
1 보육교사 1급 자격을 취득한 후 3년 이상의 보육 등 아동복지업무 경력이 있는 사람
2 「유아교육법」에 따른 유치원 정교사 1급 자격을 취득한 후 3년 이상의 보육 등 아동복지업무 경력이 있는 사람
3 유치원 원장의 자격을 가진 사람
4 「초·중등교육법」에 따른 초등학교 정교사 자격을 취득한 후 5년 이상의 보육 등 아동복지업무 경력이 있는 사람
5 「사회복지사업법」에 따른 사회복지사 1급 자격을 취득한 후 5년 이상의 보육 등 아동복지업무 경력이 있는 사람
6 「의료법」에 따른 간호사 면허를 취득한 후 7년 이상의 보육 등 아동복지업무 경력이 있는 사람
7 국가 또는 지방자치단체에서 7급 이상의 공무원으로 보육 등 아동복지업무에 5년 이상 근무한 경력이 있는 사람
▪ 어린이집 원장의 자격에 대한 자세한 내용은 이 사이트 『어린이집 설치』 콘텐츠에서 확인할 수 있습니다.
어린이집 원장의 자격정지
어린이집의 원장은 다음의 사항을 위반하였을 경우에는 특별자치시장·특별자치도지사·시장·군수·구청장으로부터 자격정지의 처분을 받을 수 있습니다(「영유아보육법」 제46조 및 「영유아보육법 시행령」 제26조제2항제1호).
1 어린이집의 원장이 업무 수행 중 고의나 중대한 과실로 영유아에게 손해를 입힌 경우로서, ① 영유아의 생명을 해치거나 신체 또는 정신에 중대한 손해를 입힌 경우, ② 운영기준을 위반하여 손해를 입힌 경우, ③ 급식기준을 위반하여 손해를 입힌 경우, ④ 그 밖에 손해를 입힌 경우
2 해당 업무 수행에 필요한 자격이 없는 사람을 채용하여 보육교사·간호사 또는 영양사 등의 업무를 수행하게 한 경우
3 「영유아보육법」 제23조에 따른 보수교육을 연속하여 3회 이상 받지 않은 경우
4 거짓이나 그 밖의 부정한 방법으로 보조금을 교부받거나 보조금을 유용한 경우
5 「공익신고자 보호법」 제2조제2호에 따른 공익신고를 한 보육교직원에게 같은 조 제6호에 따른 불이익조치를 한 경우
▪ 어린이집 원장의 자격정지 처분과 세부기준에 대한 자세한 내용은 「영유아보육법 시행규칙」 별표 10을 참고하시기 바랍니다.
어린이집 원장의 자격 취소
어린이집의 원장이 다음의 사항을 위반했을 경우에는 특별자치시장·특별자치도지사·시장·군수·구청장은 자격을 취소할 수 있습니다(「영유아보육법」 제48조제1항 및 「영유아보육법 시행령」 제26조제2항제3호).
1 거짓이나 그 밖의 부정한 방법으로 자격증을 취득한 경우
2 자격 취득자가 업무 수행 중 그 자격과 관련하여 고의나 중대한 과실로 손해를 입히고 금고 이상의 형을 선고받은 경우
3 「아동복지법」 제3조제7호의2에 따른 다음의 아동학대 관련 범죄로 처벌을 받은 경우
4 명의대여 금지 등의 의무를 위반한 경우(「영유아보육법」 제22조의2)
5 자격정지처분기간 종료 후 3년 이내에 자격정지처분에 해당하는 행위를 한 경우 등 아동복지업무 경력이 있는 사람
6 자격정지처분을 받고도 자격정지처분기간 이내에 자격증을 사용하여 자격 관련 업무를 수행한 경우
7 자격정지처분을 3회 이상 받은 경우
8 거짓이나 그 밖의 부정한 방법으로 보조금을 교부받거나 보조금을 유용하여 금고 이상의 형을 선고 받은 경우
￭ 명의대여 등의 금지 ▪ 어린이집의 원장은 다른 사람에게 자기의 성명이나 어린이집의 명칭을 사용하여 어린이집의 원장의 업무를 수행하게 해서는 안 됩니다(「영유아보육법」 제22조의2제1항).
어린이집의 원장 자격증을 교부받은 사람은 다른 사람에게 그 자격증을 빌려주어서는 안되고, 누구든지 그 자격증을 빌려서도 안됩니다(「영유아보육법」 제22조의2제1항).
또한, 어린이집의 원장 자격증을 빌려주거나 빌리는 것을 알선해서는 안됩니다(「영유아보육법」 제22조의2제3항).
▪ 명의대여 금지 등의 의무를 위반하면 원장 자격이 취소될 수 있고 또한, 자기의 성명이나 어린이집의 명칭을 사용하여 어린이집의 원장의 업무를 수행하게 하거나 자격증을 대여한 사람 및 그 상대방은 1년 이하의 징역 또는 1천만원 이하의 벌금에 처해집니다(「영유아보육법」 제54조제4항제3호 및 제48조제1항제4호)."
